id,userId,status,paymentStatus,subtotal,tax,shippingCost,totalAmount,shippingAddress,billingAddress,paymentMethod,orderNotes,createdAt,updatedAt
order-1,0ee25f14-bde7-4b4d-a1f8-6b17322a7a99,SHIPPED,COMPLETED,458.96,46.58,20.7,526.24,Sample Address 1,Sample Billing Address 1,BANK_TRANSFER,Sample order notes 1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-2,286787af-54c2-45d9-b431-5c0306054e24,PROCESSING,COMPLETED,462.05,14.81,13.92,490.78000000000003,Sample Address 2,Sample Billing Address 2,PAYPAL,Sample order notes 2,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-3,16c64f73-1181-418b-b7b4-9ca99a8b58b1,PENDING,COMPLETED,107.31,26.89,17.15,151.35,Sample Address 3,Sample Billing Address 3,BANK_TRANSFER,Sample order notes 3,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-4,0dddbe66-4b40-48e1-90a5-c9ed08020e9b,PROCESSING,PENDING,409.28,29.03,14.51,452.81999999999994,Sample Address 4,Sample Billing Address 4,PAYPAL,Sample order notes 4,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-5,0f292d0c-e18b-4021-b482-1a5a04194245,SHIPPED,PENDING,432.59,41.82,21.97,496.38,Sample Address 5,Sample Billing Address 5,BANK_TRANSFER,Sample order notes 5,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-6,0c3a9615-fd51-4e9b-b57c-72568d5eb2b1,SHIPPED,COMPLETED,115.99,24.06,22.24,162.29,Sample Address 6,Sample Billing Address 6,CREDIT_CARD,Sample order notes 6,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-7,10ec0e30-339b-4656-87f3-189d4ffa5e3b,SHIPPED,COMPLETED,354.9,33.03,21.56,409.48999999999995,Sample Address 7,Sample Billing Address 7,BANK_TRANSFER,Sample order notes 7,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-8,15e78f7f-22f5-4187-ba6b-0465182cb38a,PROCESSING,PENDING,148.74,27.94,18.53,195.21,Sample Address 8,Sample Billing Address 8,CREDIT_CARD,Sample order notes 8,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-9,1bb8cbb3-27dc-49a6-9ed3-c0c0b9c0249c,PENDING,PENDING,170.12,49.24,18.3,237.66000000000003,Sample Address 9,Sample Billing Address 9,CREDIT_CARD,Sample order notes 9,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-10,2e2cbd1b-e223-4b2f-8eb6-740ee3c00254,SHIPPED,COMPLETED,338.18,7.55,17.86,363.59000000000003,Sample Address 10,Sample Billing Address 10,BANK_TRANSFER,Sample order notes 10,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-11,03c66ef5-0066-47ab-bda2-77d45098ae6a,PROCESSING,COMPLETED,488.41,40.76,14.66,543.83,Sample Address 11,Sample Billing Address 11,BANK_TRANSFER,Sample order notes 11,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-12,26b99673-9f71-4df3-969a-ce8c03e8a2c8,PENDING,PENDING,186.03,23.38,19.47,228.88,Sample Address 12,Sample Billing Address 12,BANK_TRANSFER,Sample order notes 12,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-13,1f386ee4-af66-4b04-bbe7-ed017d2a6459,DELIVERED,PENDING,346.23,26.67,9.19,382.09000000000003,Sample Address 13,Sample Billing Address 13,PAYPAL,Sample order notes 13,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-14,2d262046-7e9f-4da2-b5a0-9cefeaab3554,DELIVERED,PENDING,100.27,23.67,24.61,148.55,Sample Address 14,Sample Billing Address 14,PAYPAL,Sample order notes 14,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-15,27b0fb0a-a55c-4218-9bd4-89bbc56fe57e,PROCESSING,COMPLETED,172.97,35.39,23.49,231.85000000000002,Sample Address 15,Sample Billing Address 15,BANK_TRANSFER,Sample order notes 15,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-16,1651a4cf-cb0f-4c5c-a9fd-ef5155434ffe,PENDING,COMPLETED,50.36,47.49,15.21,113.06,Sample Address 16,Sample Billing Address 16,CREDIT_CARD,Sample order notes 16,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-17,065cbe03-7f91-46ff-8e14-b4bb7ca5cbc9,PROCESSING,PENDING,266.6,14.93,8.68,290.21000000000004,Sample Address 17,Sample Billing Address 17,PAYPAL,Sample order notes 17,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
