id,productId,userId,rating,title,comment,createdAt,updatedAt
review-1,ef473a95-9b5b-462a-ae3c-3baed25c70b5,127dd585-3e90-4a6a-8fc2-2092ee2ffe85,5,Review 1,This is a sample review 1,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-2,33fadcb3-b427-4927-9c49-4c6665e04bb6,0af2c40c-b439-4fff-9842-5f5e600e296d,2,Review 2,This is a sample review 2,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-3,33fad266-74f1-4c01-b91e-c15b00d4baa9,22809b86-3e2a-4c36-b479-93d6ff4d27ec,4,Review 3,This is a sample review 3,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-4,4b25cd83-5c8c-4654-bf90-8362909896b0,11c73cfe-0039-42fa-a16e-f0189d254b39,2,Review 4,This is a sample review 4,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-5,c0b73a04-aec1-4131-b8f9-c22d7d414a1c,01b132e6-6029-48c4-b09f-8828be75d2c2,1,Review 5,This is a sample review 5,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-6,c058713e-1463-47d8-a3a6-ab789ab2b2f3,24178056-ed20-4711-8670-ff09e6da9945,4,Review 6,This is a sample review 6,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-7,421dba5a-8643-41a7-a11a-52a8e292c90c,2bc99878-9e5d-4da7-88f3-2b116664c713,5,Review 7,This is a sample review 7,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-8,34bc1ae2-c3ff-4908-907c-90c7165a23e5,044493d3-e9da-40a1-af8f-8c6d254f8202,1,Review 8,This is a sample review 8,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-9,33fad266-74f1-4c01-b91e-c15b00d4baa9,19baf6d0-b78b-45d5-bdce-074b53f1e499,5,Review 9,This is a sample review 9,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-10,398e4d5a-c0ec-41c3-9a3e-4a810d07993b,0c3a9615-fd51-4e9b-b57c-72568d5eb2b1,3,Review 10,This is a sample review 10,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-11,d518348a-a38d-4878-84ec-95150504d7fc,0c3a9615-fd51-4e9b-b57c-72568d5eb2b1,4,Review 11,This is a sample review 11,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-12,9b2ee0ba-3c75-4dc5-afff-a23adff48be2,1bb8cbb3-27dc-49a6-9ed3-c0c0b9c0249c,1,Review 12,This is a sample review 12,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-13,bb6e7cec-99b4-454a-bbc6-4527dcb3bf3b,03c66ef5-0066-47ab-bda2-77d45098ae6a,4,Review 13,This is a sample review 13,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-14,3dc69ed9-7252-49c2-a7eb-59e408c4b907,2d9f7331-a34b-45d9-9366-7a43da9bf262,2,Review 14,This is a sample review 14,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-15,5536cea4-028a-4005-a529-63381b8af2e1,1bb8cbb3-27dc-49a6-9ed3-c0c0b9c0249c,1,Review 15,This is a sample review 15,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-16,dc80ef96-9399-400a-a361-5d2d7e381602,23500775-913d-43e8-9a92-dd72dc9922a7,2,Review 16,This is a sample review 16,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-17,edffb8c2-4da2-4736-ac84-4cac43f767ab,23500775-913d-43e8-9a92-dd72dc9922a7,4,Review 17,This is a sample review 17,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-18,2db58f70-4d23-4662-a57d-7cedd1d26810,24178056-ed20-4711-8670-ff09e6da9945,5,Review 18,This is a sample review 18,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-19,0380bb8d-f3b1-4595-9d30-40c66c3eac4c,22809b86-3e2a-4c36-b479-93d6ff4d27ec,4,Review 19,This is a sample review 19,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-20,21bc4b7b-643b-4358-8b57-06a73782cec6,18a64d31-9cde-4a45-a194-3c95f8002702,3,Review 20,This is a sample review 20,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-21,0bcd41d8-1ba7-4f2e-8260-bd8c3c54cbae,12a3d7d4-925a-4cda-bc7d-7dee6f9aeeee,4,Review 21,This is a sample review 21,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-22,293b983d-a3b7-47a1-9c22-f36a8af8474a,256a8e30-c02b-48c5-89a7-806a70b374b5,2,Review 22,This is a sample review 22,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-23,7ae3f720-8da7-489c-9d60-277d8e200841,24398f16-1f32-40b5-86aa-8f76472646e0,3,Review 23,This is a sample review 23,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-24,955b052e-29a8-4da2-a38f-96134d649de4,2e3c39b2-1bae-4086-aab4-08b0c87d5a29,4,Review 24,This is a sample review 24,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-25,86936f51-96fe-4321-8a76-cc0122ef9664,0c3a9615-fd51-4e9b-b57c-72568d5eb2b1,4,Review 25,This is a sample review 25,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-26,293b983d-a3b7-47a1-9c22-f36a8af8474a,127dd585-3e90-4a6a-8fc2-2092ee2ffe85,3,Review 26,This is a sample review 26,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-27,271d91d6-4590-4996-a0b1-94bb26c15705,0ae0aa4e-90a5-4a8a-9e7b-efa54bd3d0e2,2,Review 27,This is a sample review 27,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-28,fdb1114b-4a7e-4258-a2de-e124295d816f,127dd585-3e90-4a6a-8fc2-2092ee2ffe85,1,Review 28,This is a sample review 28,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-29,0f970320-ee2f-4d7c-a4fa-9622bfbb8be7,18fbc2d1-f239-4b1d-90ce-21394f341169,1,Review 29,This is a sample review 29,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-30,0380bb8d-f3b1-4595-9d30-40c66c3eac4c,16f0e4f6-9f06-42fc-b8a8-741aaa51bdfe,3,Review 30,This is a sample review 30,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-31,6d226024-f767-439b-aa7e-0f5bc6ada2c4,07edcd8d-acf4-4f45-9252-7f4158fce686,5,Review 31,This is a sample review 31,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-32,38502817-9f76-44ef-8320-ca342467286d,0df88a14-f942-47e6-a766-3c4a1068626d,5,Review 32,This is a sample review 32,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-33,dd3a9ddb-7f74-45f9-a58f-51ce5cc10f96,27db394c-6ca1-4b3d-ad6e-d941b6a03cf7,2,Review 33,This is a sample review 33,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-34,fee58bfe-5684-46ec-a375-ea00613a8f3d,1e696959-8f82-4a91-a533-aa4c34259f4d,5,Review 34,This is a sample review 34,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-35,9b2ee0ba-3c75-4dc5-afff-a23adff48be2,2d948ec3-dad9-4bee-97e8-5a183b3ab1ab,4,Review 35,This is a sample review 35,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-36,c058713e-1463-47d8-a3a6-ab789ab2b2f3,2038f131-838f-47e1-b236-ede9b6327fff,4,Review 36,This is a sample review 36,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-37,6881c3b3-580b-4e33-a806-07e344947e11,1ba81d8d-4c7a-4b3e-b17c-3ae3b0d5ed18,5,Review 37,This is a sample review 37,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-38,6846dba3-0c9e-4850-b1d4-048d46c82cca,237bdb94-f23e-40ef-bc77-50e371b0f4f1,3,Review 38,This is a sample review 38,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-39,615707b3-3549-4f59-b533-b0e03a794d43,22809b86-3e2a-4c36-b479-93d6ff4d27ec,2,Review 39,This is a sample review 39,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-40,eaff215f-1be5-4699-bf0e-3cc059e1992d,129c85be-1258-40dd-b21f-20f22a82082b,5,Review 40,This is a sample review 40,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-41,f85a012a-183d-40ca-8ce2-b4ac6aece2dc,11c73cfe-0039-42fa-a16e-f0189d254b39,3,Review 41,This is a sample review 41,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-42,87682c3e-2dbc-40e1-9f9f-e16435d2a661,282518af-d8dc-4d97-bc89-b0f7cb0e414c,2,Review 42,This is a sample review 42,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-43,a35131f4-41e2-4d70-acfb-4dda81dd9f2a,03ab8ccf-389a-425e-9aef-38cd6a68fd4c,5,Review 43,This is a sample review 43,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-44,3dc69ed9-7252-49c2-a7eb-59e408c4b907,1ca611ba-e333-44f7-a5af-3bab9e8e861e,1,Review 44,This is a sample review 44,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-45,4ce8333d-3946-4248-8af1-f4f360cfbd22,2990516f-ec17-41db-affe-ea035038adc0,2,Review 45,This is a sample review 45,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-46,3dc69ed9-7252-49c2-a7eb-59e408c4b907,044493d3-e9da-40a1-af8f-8c6d254f8202,2,Review 46,This is a sample review 46,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-47,eaff215f-1be5-4699-bf0e-3cc059e1992d,065cbe03-7f91-46ff-8e14-b4bb7ca5cbc9,4,Review 47,This is a sample review 47,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-48,d5d7b3c0-25fb-4209-8ccf-bb061f671e12,1057e190-e1f8-4188-9d42-080bc8e8570b,3,Review 48,This is a sample review 48,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-49,6d226024-f767-439b-aa7e-0f5bc6ada2c4,05c96289-5283-4f0a-8a24-db4cbe6d2f66,3,Review 49,This is a sample review 49,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
review-50,d5e0079d-d6e0-4115-94dc-8e8ddb3ea0d7,2d262046-7e9f-4da2-b5a0-9cefeaab3554,5,Review 50,This is a sample review 50,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
